"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","491","test_get_booking_by_id","tests","Tue Mar 31 19:16:19 UTC 2026","passed","Tue Mar 31 19:16:20 UTC 2026","TestBooking","test_booking","",""
"","267","test_auth[--200]","tests","Tue Mar 31 19:16:18 UTC 2026","passed","Tue Mar 31 19:16:18 UTC 2026","","test_auth","",""
"","248","test_auth[admin-password123-200]","tests","Tue Mar 31 19:16:17 UTC 2026","passed","Tue Mar 31 19:16:18 UTC 2026","","test_auth","",""
"","262","test_auth[-password123-200]","tests","Tue Mar 31 19:16:18 UTC 2026","passed","Tue Mar 31 19:16:19 UTC 2026","","test_auth","",""
"","227","test_auth[admin--200]","tests","Tue Mar 31 19:16:19 UTC 2026","passed","Tue Mar 31 19:16:19 UTC 2026","","test_auth","",""
"","230","test_ping","tests","Tue Mar 31 19:16:21 UTC 2026","passed","Tue Mar 31 19:16:21 UTC 2026","","test_ping","",""
"","679","test_delete_booking","tests","Tue Mar 31 19:16:20 UTC 2026","passed","Tue Mar 31 19:16:21 UTC 2026","TestBooking","test_booking","",""
"","245","test_create_booking_success","tests","Tue Mar 31 19:16:19 UTC 2026","passed","Tue Mar 31 19:16:19 UTC 2026","TestBooking","test_booking","",""
"","274","test_get_all_bookings","tests","Tue Mar 31 19:16:20 UTC 2026","passed","Tue Mar 31 19:16:20 UTC 2026","TestBooking","test_booking","",""
"","716","test_update_booking","tests","Tue Mar 31 19:16:20 UTC 2026","passed","Tue Mar 31 19:16:20 UTC 2026","TestBooking","test_booking","",""
"","374","test_auth[admin-wrongpass-200]","tests","Tue Mar 31 19:16:18 UTC 2026","passed","Tue Mar 31 19:16:18 UTC 2026","","test_auth","",""
