"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_auth[-password123-200]","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_auth","",""
"","0","test_create_booking_success","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","0","test_get_all_bookings","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","0","test_auth[admin-wrongpass-200]","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_auth","",""
"","0","test_delete_booking","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","0","test_auth[--200]","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_auth","",""
"","0","test_update_booking","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","0","test_auth[admin--200]","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_auth","",""
"","0","test_ping","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_ping","",""
"","0","test_get_booking_by_id","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","0","test_auth[admin-password123-200]","tests","Sat Mar 28 19:42:07 UTC 2026","broken","Sat Mar 28 19:42:07 UTC 2026","","test_auth","",""
